bucket	date	oca_title	best_ours	score
present	04-06	Saint Platonis of Nisibis, Syria	Platonis the Nun of Nisibis	1.0
missing	04-06	120 Martyrs of Persia		0.0
missing	04-06	Martyrs Jeremiah and Presbyter Archilias		0.0
missing	04-06	Venerable Gregory the Byzantine		0.0
missing	04-06	Monastic Martyr Gennadios of Dionysiou on Mount Athos		0.0
present	04-07	Great and Holy Tuesday	Great and Holy Tuesday	1.0
present	04-07	Repose of Saint Tikhon, Patriarch of Moscow, Enlightener of North America	Repose St. Tikhon, Patriarch of Moscow, Enlightener N. America	1.0
present	04-07	Saint George the Confessor, Bishop of Mytilene	St George the Confessor, bishop of Mitylene (ca. 820)	1.0
missing	04-07	Venerable Daniel, Abbot of Pereslavl-Zalessky		0.0
probable	04-07	Martyr Calliopius at Pompeiopolis in Cilicia	Holy Martyr Calliopius, with his mother Theoclea (304)	0.5
missing	04-07	Martyrs Rufinus the Deacon, Aquilina, and 200 soldiers with them at Sinope		0.0
missing	04-07	Venerable Serapion of Egypt		0.0
present	04-08	Great and Holy Wednesday	Great and Holy Wednesday	1.0
probable	04-08	Apostle Herodion of the Seventy, and those with Him	Apostles of the Seventy Herodion, Agabus, Asyncritus, Rufuf, Phlegon, Hermes	0.67
missing	04-08	Saint Niphon, Bishop of Novgorod		0.0
present	04-08	Venerable Rufus the Obedient of the Kiev Far Caves	Rufus the Obedient of the Kiev Caves	1.0
missing	04-08	Martyr Pausilippus of Heraclea in Thrace		0.0
present	04-08	Saint Celestine, Pope of Rome	Saint Celestine, Pope of Rome (432)	1.0
missing	04-08	“Spanish” Icon of the Mother of God		0.0
present	04-09	Great and Holy Thursday	Great and Holy Thursday	1.0
present	04-09	Martyr Eupsychius of Caesarea, in Cappadocia	Martyr Eupsychius of Caesarea in Cappadocia	1.0
missing	04-09	Hieromartyr Desan, Bishop in Persia, and 272 others with him		0.0
present	04-09	Monastic Martyr Bademus (Vadim) of Persia	Vadim the Righteous of Persia	1.0
missing	04-09	Saint Eleni (also called Susanna), New Martyr of Lesbos		0.0
greek	04-09	New Martyrs Raphael, Nicholas, and Irene of Lesbos	Raphael, Nicholas, Irene, & Olympias of Mytilene	0.75
present	04-10	Great and Holy Friday	Great and Holy Friday	1.0
probable	04-10	Martyr Terence and 40 others beheaded at Carthage	Martyrs Terence, Pompeius, Africanus and Companions	0.25
elsewhere	04-10	Martyrs James (Jacob) the Presbyter, and Azadanes and Abdicius, Deacons, of Persia	11-27  Greatmartyr Jacob of Persia	0.75
missing	04-10	Martyrs of the Kvabtakhevi Monastery in Georgia		0.0
present	04-10	Hieromartyr Patriarch Gregory V of Constantinople	New Hieromartyr Gregory, Patriarch of Constantinople (1821)	1.0
present	04-11	Great and Holy Saturday	Great and Holy Saturday	1.0
present	04-11	Hieromartyr Antipas, Bishop of Pergamum and Disciple of Saint John the Theologian	Hieromartyr Antipas, Bishop of Pergamum	1.0
missing	04-11	Venerable James, Abbot of Zheleznoborov		0.0
elsewhere	04-11	Saint Barsanuphius, Bishop of Tver	10-04  Unc. Rel. Gurias of Kazan and Varsanuphy of Tver	1.0
present	04-11	Martyrs Processus and Martinian of Rome	Holy Martyrs Processus and Martinian (1st c.)	1.0
present	04-11	Venerable Pharmuthius the Anchorite of Egypt	Pharmuthios the Anchorite	1.0
elsewhere	04-11	Venerable John, disciple of Venerable Gregory of Decapolis	04-18  Ven. John, Disciple of Gregory Decapolites	1.0
missing	04-11	Saint Callinicus of Cernica, Bishop of Rimnicului in Romania		0.0
present	04-12	HOLY PASCHA: The Resurrection of Our Lord	Holy Pascha	1.0
present	04-12	Saint Basil the Confessor, Bishop of Parium	St Basil the Confessor, Bishop of Parium	1.0
missing	04-12	Hieromartyr Zeno, Bishop of Verona		0.0
present	04-12	Saint Isaac the Syrian, Abbot of Spoleto	St Isaac the Syrian, abbot of Spoleto, Italy (ca. 550)	1.0
missing	04-12	Monastic Martyrs Menas, David, and John, of Palestine		0.0
present	04-12	Venerable Anthusa of Constantinople	Anthousa the Righteous of Constantinople	1.0
present	04-12	Venerable Athanasia, Abbess of Aegina	Our Holy Mother Athanasia (860)	1.0
missing	04-12	Venerable Acacius the Younger of Mount Athos		0.0
missing	04-12	Murom Icon of the Mother of God		0.0
missing	04-12	Belynich Icon of the Mother of God		0.0
missing	04-12	Transfer of the Holy Zone of Theotokos to Constantinople		0.0
present	04-13	Bright Monday	Bright Monday	1.0
missing	04-13	Icon of the Mother of God of Mt. Athos, “Sweet Kissing”		0.0
probable	04-13	Hieromartyr Artemon of Laodikeia	Hieromartyr Artemon, Presbyter of Laodicea	0.5
missing	04-13	Martyr Crescens of Myra in Lycia		0.0
missing	04-13	Martyr Thomais of Alexandria		0.0
present	04-14	Bright Tuesday	Bright Tuesday	1.0
present	04-14	Saint Martin the Confessor, Pope of Rome	St Martin the Confessor, Pope of Rome	1.0
missing	04-14	Martyrs Anthony, John, and Eustathius of Vilnius		0.0
present	04-14	Martyr Ardalion the Actor	Holy Martyr Ardalion the Actor (3rd c.)	1.0
missing	04-14	Martyr Azades the Eunuch and 1,000 Martyrs of Persia		0.0
missing	04-14	Vil'na Icon of the Mother of God		0.0
present	04-15	Bright Wednesday	Bright Wednesday	1.0
present	04-15	Apostle Aristarchus of the Seventy	Apostles of the Seventy Aristarchus, Pudens and Trophimus	1.0
present	04-15	Apostle Pudens of the Seventy	Apostles of the Seventy Aristarchus, Pudens and Trophimus	1.0
present	04-15	Apostle Trophimus of the Seventy	Apostles of the Seventy Aristarchus, Pudens and Trophimus	1.0
elsewhere	04-15	Martyrs Basilissa and Anastasia of Rome, disciples of Apostles Peter and Paul	01-26  Our Holy Mother Paula of Rome (404)	1.0
missing	04-15	Martyr Suchias and his Soldiers in Georgia		0.0
present	04-15	Martyr Savva the Goth of Wallachia	Holy Martyr Sabbas the Goth (372)	1.0
missing	04-15	Saint Ephraim the Great of Atsquri		0.0
present	04-16	Bright Thursday	Bright Thursday	1.0
present	04-16	Virgin Martyrs Agape, Irene and Chionia, in Illyria	Virgin Martyrs Agape, Irene and Chionia	1.0
probable	04-16	Martyrs Leonidas, Chariessa, Nice, Galina, Kalista, Nunechia, Basilissa, Theodora, and Irene, of Corinth	Virgin Martyrs Agape, Irene and Chionia	0.25
missing	04-16	Monastic Martyr Christopher of Dionysiou, Mount Athos		0.0
missing	04-16	Hieromartyr Nikḗtas		0.0
missing	04-16	Weeping “Ilyin Chernigov” Icon of the Mother of God		0.0
missing	04-16	Tambov (Utkino) Icon of the Mother of God		0.0
present	04-17	Bright Friday: The Life Giving Fountain of the Mother of God	Bright Friday	1.0
missing	04-17	Appearance of the Icon of the Mother of God “The Footprint” at Pochaev		0.0
present	04-17	Hieromartyr Simeon, Bishop in Persia, and those with him	Hieromartyr Simeon of Persia	1.0
missing	04-17	Saint Akakios, Bishop of Melitēnḗ		0.0
probable	04-17	Venerable Zosimas, Abbot of Solovki	Ven. Zosima of Solovetsk	0.5
missing	04-17	Uncovering of the relics of Venerable Alexander, Abbot of Svir		0.0
missing	04-17	Martyr Adrian of Corinth		0.0
missing	04-17	Saint Agapitus, Pope of Rome		0.0
present	04-17	Venerable Makarius of Corinth	Makarios, Bishop of Corinth	1.0
present	04-18	Bright Saturday	Bright Saturday	1.0
present	04-18	Venerable John, disciple of Venerable Gregory of Decapolis	Ven. John, Disciple of Gregory Decapolites	0.75
missing	04-18	Martyr Victor, and his companions, of Nicomedia		0.0
missing	04-18	Saint Cosmas, Bishop of Chalcedon, and his fellow ascetic, Saint Auxentius		0.0
probable	04-18	New Martyr John the New of Epirus	Ven. John, Disciple of Gregory Decapolites	0.5
missing	04-18	Venerable Euthymius, Enlightener of Karelia, Finland and the Righteous Anthony and Felix		0.0
missing	04-18	“Maximov” Icon of the Mother of God		0.0
missing	04-18	Saint Basil Ratishvili of Georgia		0.0
present	04-19	Antipascha: Saint Thomas Sunday	St Thomas Sunday	1.0
present	04-19	Venerable John of the Ancient Caves in Palestine	Ven. John of Ancient Caves in Palestine	1.0
missing	04-19	Martyrs Christopher, Theonas, and Anthony, at Rome		0.0
present	04-19	Hieromartyr Paphnutius of Jerusalem	The Holy Hieromartyr Paphnutius	1.0
present	04-19	Saint George the Confessor and Bishop of Antioch, in Pisidia	George the Confessor	1.0
present	04-19	Saint Tryphon, Patriarch of Constantinople	Tryphon, Patriarch of Constantinople	1.0
missing	04-19	Venerable Nikēphóros, Abbot of Catabad		0.0
present	04-19	Monastic Martyr Agathangelus of Esphigmenou, Mount Athos	Our Holy Father Agathangelos (1819)	1.0
missing	04-19	Venerable Simeon of Philotheou		0.0
missing	04-19	Martyr Theodore and those with him		0.0
probable	04-20	Venerable Theodore Trichinas “the Hair-Shirt Wearer” and Hermit Near Constantinople	Ven. Theodore Trichinas	0.67
missing	04-20	Venerable Alexander, Abbot of Oshevensk		0.0
missing	04-20	Childmartyr Gabriel of Bialystok		0.0
greek	04-20	Blessed Gregory, Patriarch of Antioch	Gregory & Anastasios, Patriarchs of Antioch	1.0
missing	04-20	Venerable Anastasius, Abbot of Sinai		0.0
missing	04-20	Saint Betran, Bishop of Lesser Scythia		0.0
missing	04-20	Saint Theotimus, Bishop of Lesser Scythia		0.0
missing	04-20	Translation of the relics of Saint Nikolai of Zhicha		0.0
missing	04-20	Saint Joseph of Serbia		0.0
present	04-20	Apostle Zacchaeus	Holy Apostle Zaccheus	1.0
present	04-20	Saint Athanasius of Meteora	Athanasios, Founder of the Monastery of Meteora	1.0
present	04-21	Day of Rejoicing	Day of Rejoicing (Radonitsa)	1.0
present	04-21	Hieromartyr Januarius, Bishop of Benevento, and his companions, at Pozzuoli	Hieromartyr Januarius and Companions	1.0
present	04-21	Hieromartyr Theodore of Perge in Pamphylia, his mother, Philippa, and Martyrs Dioscorus, Socrates, and Dionysius	Theodore the Holy Martyr & his mother Philippa of Perge	1.0
missing	04-21	Martyrs Isaac, Apollos, and Quadratus, of Nicomedia		0.0
present	04-21	Saint Maximian, Patriarch of Constantinople	Our Holy Father Maximian, Patriarch of Constantinople	1.0
probable	04-21	The Recovery of the Relics of Saint Theodore of Sanaxar	Theodore the Holy Martyr & his mother Philippa of Perge	0.33
present	04-22	Saint Theodore the Sykeote, Bishop of Anastasiopolis	St Theodore the Sykeote	1.0
missing	04-22	Translation of the relics of Blessed Vsevolod (in Baptism Gabriel), Prince of Pskov		0.0
missing	04-22	Apostle Nathaniel of the Seventy		0.0
elsewhere	04-22	Apostle and Evangelist Luke of the Seventy	10-18  Holy Apostle and Evangelist St Luke	1.0
missing	04-22	Holy Apostles of the 70 Apelles, Luke (Loukios), and Clement		0.0
present	04-22	Venerable Vitalius of Gaza	Our Holy Father, the monk Vitalis	1.0
elsewhere	04-22	Hieromartyr Savva (Trlajic) of Serbia	02-08  St Sabbas II, Archbishop of Serbia (1271)	1.0
missing	04-22	Hieromartyr Platon the Newmartyr of Banjaluka		0.0
probable	04-23	Greatmartyr, Victory-bearer, and Wonderworker George	Holy Greatmartyr, Victorybearer and Wonderworker George	0.5
missing	04-23	Martyr Alexandra the Empress, wife of Diocletian		0.0
probable	04-23	Martyrs Anatolius and Protoleon, soldiers converted by witnessing the martyrdom of Saint George	Holy Greatmartyr, Victorybearer and Wonderworker George	0.5
missing	04-23	New Martyr Lazarus of Bulgaria		0.0
missing	04-23	Holy Martyr Polychronia		0.0
present	04-24	Martyr Savva Stratelates “the General” of Rome, and 70 soldiers with him	Martyr Sabbas Stratelates	1.0
probable	04-24	Venerable Savva the Recluse of the Kiev Far Caves	Martyr Sabbas Stratelates	0.5
elsewhere	04-24	Venerable Alexius the Recluse of the Kiev Far Caves	08-28  Synaxis of the Kiev Cave Fathers	1.0
missing	04-24	Martyrs Valentine and Pasikrates in Moesia, Bulgaria		0.0
missing	04-24	Martyrs Eusebius, Neon, Leontius, Longinus, and others, at Nicomedia		0.0
missing	04-24	Venerable Thomas the Fool of Syria		0.0
present	04-24	Saint Elizabeth, Wonderworker of Constantinople	Elizabeth the Wonderworker	1.0
missing	04-24	Saint Iorest, Metropolitan of Ardeal, Confessor of Romania		0.0
probable	04-24	Saint Savva Brancovici, Metropolitan of Ardeal, Confessor of Romania	Martyr Sabbas Stratelates	0.5
missing	04-24	Hieromartyr and Confessor Elijah (Ilie) the Wallachian		0.0
missing	04-24	Icon of the Mother of God of Molcha		0.0
missing	04-24	Hieromartyr Branko (Dobrosavljevic) the Newmartyr		0.0
missing	04-24	Saint Joseph the Confessor of Maramures		0.0
missing	04-24	Hieromartyr Branko, parish priest of Veljusa		0.0
missing	04-25	Saint Basil of Poiana Marului		0.0
present	04-25	Apostle and Evangelist Mark	Holy Apostle and Evangelist Mark	1.0
missing	04-25	Venerable Sylvester, Abbot of Obnora		0.0
missing	04-25	Constantinople Icon of the Mother of God		0.0
present	04-26	Sunday of the Holy Myrrhbearing Women with the Noble Joseph	Myrrhbearing Women	1.0
present	04-26	Hieromartyr Basil, Bishop of Amasea	Hieromartyr Basil of Amasea	1.0
present	04-26	Saint Stephen, Bishop of Perm	St Stephen, Bishop of Perm	1.0
missing	04-26	Righteous Virgin Martyr Glaphyra		0.0
elsewhere	04-26	Saint Joannicius of Devich, Serbia	12-02  Joannicos the Monk of Devich	1.0
missing	04-26	6,000 Martyrs of Saint David Gareji Monastery, Georgia		0.0
missing	04-26	Icon of the Mother of God of Mozdok and Dubno-Krasnogorsk		0.0
present	04-27	Hieromartyr Simeon, kinsman of the Lord, second Bishop of Jerusalem	Hieromartyr Simeon, Kinsman of the Lord	1.0
present	04-27	Venerable Stephen, Abbot of the Kiev Far Caves, and Bishop of Vladimir, in Volhynia	Our Holy Father Stephen, Abbot of the Kiev Caves and Bishop of Vladimir (1094)	1.0
missing	04-27	Saint Eulogius the Hospitable of Constantinople		0.0
present	04-27	The Burning of Saint Sava's relics	Burning of the relics of St Sava I of Serbia by the Turks (1594)	1.0
present	04-28	Apostles Jason and Sosipater of the Seventy, the Virgin Kerkyra, and those with them	Apostles Jason and Sosipater of the Seventy	1.0
missing	04-28	Martyrs Dada, Maximus, and Quinctilian, at Dorostolum		0.0
missing	04-28	Saint Cyril, Bishop of Turov		0.0
present	04-29	Nine Martyrs at Cyzicus: Theognes, Rufus, Antipater, Theostichus, Artemas, Magnus, Theodotus, Thaumasius, and Philemon	The Nine Martyrs at Cyzicus (3rd c.)	1.0
missing	04-29	Venerable Memnon the Wonderworker		0.0
missing	04-29	Martyrs Diodorus and Rhodopianus—Deacons, at Aphrodisia in Anatolia		0.0
present	04-29	Saint Basil, Bishop of Zakholmsk in Montenegro, Serbia	St Basil, bishop of Ostrog in Montenegro (Serbia) (1671)	0.75
present	04-29	Venerable Nectarius of Optina	Nektarios the New Martyr of Optina	1.0
missing	04-29	Martyrs of Lazeti		0.0
missing	04-29	Saint Endellion, recluse of Cornwall		0.0
present	04-30	Apostle James the Brother of Saint John the Theologian	Holy Apostle James, Brother of St John	1.0
elsewhere	04-30	Uncovering of the relics of Saint Nikḗtas, Bishop of Novgorod	01-31  Venerable Nicetas, hermit of the Kiev Caves and Bishop of Novgorod (1108)	1.0
missing	04-30	Saint Donatus, Bishop of Euroea in Epirus		0.0
elsewhere	04-30	Uncovering of the relics of Saint Basil, Bishop of Amasea	04-26  Hieromartyr Basil of Amasea	1.0
missing	04-30	Martyr Maximus of Ephesus		0.0
present	04-30	Saint Ignatius Brianchaninov, Bishop of the Caucasus and Stavropol	St Ignatius (Brianchaninov), Bishop of Stavropol and Kavkaz (1867)	0.75
present	04-30	New Martyr Argyra	Argyra the New Martyr	1.0
present	05-01	Prophet Jeremiah	Prophet Jeremiah	1.0
probable	05-01	Venerable Paphnutius, Abbot of Borov	Ven. Paphnutius of Borovsk	0.5
probable	05-01	New Martyr Euthymius of Mount Athos	Synaxis of the Three New Righteous Martyrs of the Holy Mountain, Euthymius, Ignatius, and Acacius (1814-1815)	0.33
probable	05-01	New Martyr Ignatius the Martyr of Mount Athos	Synaxis of the Three New Righteous Martyrs of the Holy Mountain, Euthymius, Ignatius, and Acacius (1814-1815)	0.33
probable	05-01	New Martyr Acacius, Martyr of Mount Athos and Seres	Synaxis of the Three New Righteous Martyrs of the Holy Mountain, Euthymius, Ignatius, and Acacius (1814-1815)	0.25
missing	05-01	Hieromartyr Macarius, Metropolitan of Kiev		0.0
missing	05-01	Martyr Bata the Persian		0.0
present	05-01	Right-believing Tamara, Queen of Georgia	Saint Tamara (Tamar), Queen of Georgia (1212)	1.0
missing	05-01	Venerable Nikēphóros of Chios		0.0
missing	05-01	“Unexpected Joy” Icon of the Mother of God		0.0
missing	05-01	“Myrrh-Bearing” Icon of the Mother of God		0.0
missing	05-01	Saint Panaretus of Cyprus		0.0
missing	05-01	Saint Gerasimus of Boldino		0.0
missing	05-01	Martyr Isidora		0.0
missing	05-01	Saint Zosimas II of Kumurdo		0.0
present	05-02	Saint Matrona of Moscow	Saint Matrona (the Blind) of Moscow (1952)	1.0
present	05-02	Saint Athanasius the Great, Patriarch of Alexandria	St Athanasius the Great, Patr. of Alexandria	1.0
probable	05-02	Translation of the Relics of the Holy Passionbearers Boris and Gleb (in Baptism Roman and David—1072 and 1115)	Trans. Rel. Boris and Gleb	0.5
probable	05-02	Saint Athanasius of Lubensk, Patriarch of Constantinople	St Athanasius the Great, Patr. of Alexandria	0.33
present	05-02	Martyr Hesperus with his wife and sons at Attalia	Holy Martyrs Hesperus, his wife Zoë, and their sons Cyriac and Theodulus (2nd c.)	0.75
present	05-02	Saint Boris (in Baptism Michael), Equal of the Apostles, Prince and Baptizer of Bulgaria	Holy Tsar Boris-Michael of Bulgaria (907)	0.75
missing	05-02	Icon of the Mother of God of Putivil		0.0
probable	05-03	Sunday of the Paralytic	4th Sunday of Pascha	0.5
present	05-03	Martyr Timothy the Reader and his wife, Maura, in Egypt	Martyrs Timothy the Reader and his wife Maura of Antinoe in Egypt (286)	1.0
present	05-03	Venerable Theodosius, Abbot of the Kiev Far Caves Monastery, and Founder of Coenobitic Monasticism in Russia	Ven. Theodosius, Abbot of the Kiev Caves	0.75
present	05-03	Saint Peter the Wonderworker, Bishop of Argos	Peter the Wonderworker	1.0
missing	05-03	“Svena” Icon of the Mother of God		0.0
probable	05-03	Translation of the Dormition Icon of the Mother of God from Constantinople to the Kiev Caves, Far Caves	Ven. Theodosius, Abbot of the Kiev Caves	0.5
missing	05-03	Saint Mamai, Catholicos of Georgia		0.0
missing	05-03	Saints Michael and Arsenius of Ulompo, Georgia		0.0
missing	05-03	Saint Ekouménios, Wonderworker of Trikala		0.0
present	05-03	Holy Great Martyr Xenia of Kalamata	Xenia of Kalamata the Great Martyr	1.0
missing	05-04	New Martyr Archpriest Vasily Martysz		0.0
present	05-04	Virgin Martyr Pelagia of Tarsus, in Asia Minor	Virgin Martyr Pelagia of Tarsus	1.0
missing	05-04	Venerable Alphan, with his brothers, of Novgorod, founders of the Sokolnitzky Monastery		0.0
missing	05-04	Holy Confessor Erasmus, Bishop of Formia in Campania		0.0
missing	05-04	Hieromartyr Albian, Bishop of Anaea in Asia Minor		0.0
missing	05-04	Hieromartyr Silvanus, Bishop of Gaza, and 40 Martyrs with him		0.0
probable	05-04	Venerable Nikēphóros of Mount Athos	Our Holy Father Nikephoros the Hesychast (14th c.)	0.5
missing	05-04	“Staro Rus” Old Russian Icon of the Mother of God		0.0
present	05-04	Saint Monica	St Monica, mother of Blessed Augustine (388)	1.0
present	05-05	Great Martyr Irene	Great Martyr Irene of Thessalonica	1.0
missing	05-05	Uncovering of the relics of Venerable James, Abbot of Zhelezny Bor		0.0
present	05-05	New Martyr Ephraim	The Righteous Martyr Ephraim the Younger	1.0
missing	05-05	Inexhastible Chalice Icon of the Mother of God		0.0
missing	05-05	Venerable Barlaam of Serpukhov		0.0
present	05-06	Midfeast of Pentecost	Midfeast of Pentecost	1.0
probable	05-06	Righteous Job the Long-Suffering	Righteous Job the Longsuffering	0.5
elsewhere	05-06	Venerable Micah, disciple of Venerable Sergius of Radonezh	09-25  Our Holy Father Sergius of Radonezh (1392)	1.0
probable	05-06	Martyr Barbarus the Soldier, and those with him, in Morea	Holy Martyr Barbarus the Soldier, with Bacchus, Callimachus and Dionysius (362)	0.5
probable	05-06	Martyr Barbarus in Thessaly, who was a robber	Holy Martyr Barbarus the Soldier, with Bacchus, Callimachus and Dionysius (362)	0.25
elsewhere	05-06	Translation of the relics of Saint Savva, first Archbishop of Serbia	01-12  St Sava, Archbishop of Serbia	1.0
missing	05-06	Saint Seraphim of Labodeia		0.0
present	05-07	Commemoration of the Apparition of the Sign of the Precious Cross Over Jerusalem, in 351 AD	Commemoration of the Apparition of the Sign of the Precious Cross over Jerusalem in 351 AD	1.0
probable	05-07	Repose of Saint Alexis Toth, Confessor and Defender of Orthodoxy in America	St Alexis Toth of Wilkes-Barre, Pennsylvania (1909) (April 24 OC)	0.4
present	05-07	Martyr Acacius the Centurion at Byzantium	Martyr Acacius the Centurion at Byzantium (303)	1.0
present	05-07	Repose of Venerable Nilus, Abbot of Sora	Repose of St. Nilus, abbot of Sora	1.0
missing	05-07	Saint John Zedazeni of Zaden, Georgia, with his 12 disciples		0.0
probable	05-07	Venerable Nilus the Myrrhgusher of Lavra of Mount Athos	Repose of St. Nilus, abbot of Sora	0.5
missing	05-07	Monastic Martyr Pachomius of Mount Athos		0.0
missing	05-07	Icon of the Mother of God of Zhirovits		0.0
missing	05-07	Icon of the Mother of God of Lubech		0.0
probable	05-07	Saint Akaki Asistavi of Georgia	Martyr Acacius the Centurion at Byzantium (303)	0.33
elsewhere	05-07	Martyr Quadratus and his companions	03-10  Martyr Quadratus and Companions	1.0
present	05-08	Apostle and Evangelist John the Theologian	Holy Apostle John the Theologian	1.0
present	05-08	Venerable Arsenius the Great	Our Righteous Father Arsenios the Great (449)	1.0
present	05-08	Venerable Arsenius the Lover-of-Labor of the Kiev Far Caves	Our Righteous Father Arsenios the Great (449)	1.0
elsewhere	05-08	Venerable Pimen the Ascetic of the Kiev Far Caves	08-28  Synaxis of the Kiev Cave Fathers	1.0
missing	05-09	New Martyrs and Confessors of Butovo		0.0
present	05-09	Prophet Isaiah	Prophet Isaiah	1.0
present	05-09	Martyr Christopher of Lycia, and, with him, the Martyrs Callinika and Aquilina	Holy Martyr Christopher (3rd c.)	1.0
probable	05-09	Translation of the relics of Saint Nicholas the Wonderworker from Myra to Bari	Trans. Rel. St Nicholas the Wonderworker	0.33
missing	05-09	Repose of Venerable Shio the Anchorite of Georgia		0.0
missing	05-09	Venerable Joseph of Optina		0.0
present	05-10	Sunday of the Samaritan Woman	Samaritan Woman	1.0
present	05-10	Apostle Simon the Zealot	Apostle Simon the Zealot	1.0
probable	05-10	Saint Simon, Bishop of Vladimir and Suzdal of the Kiev Near Caves	Apostle Simon the Zealot	0.5
probable	05-10	Martyrs Philadelphus, Cyprian, Alphius, Onesimus, Erasmus, and 14 others, in Sicily	Holy Martyrs Alphaeus, Philadelphus and Cyprinus of Sicily (251)	0.5
missing	05-10	Martyr Hesychius of Antioch		0.0
present	05-10	Blessed Isidora the Fool of Tabenna in Egypt	St Isidora the Fool of Tabenna (Egypt) (4th c.)	1.0
present	05-10	Blessed Thais of Egypt	Blessed Thaïs (Taïsia) of Egypt (4th c.)	1.0
missing	05-10	“Kiev-Bratsk” Icon of the Mother of God		0.0
missing	05-10	Venerable Comgall of Bangor		0.0
missing	05-11	Commemoration of the Founding of Constantinople		0.0
present	05-11	Hieromartyr Mocius the Presbyter of Amphipolis in Macedonia	Holy Hieromartyr Mocius (288? 295?)	1.0
present	05-11	Equals of the Apostles and Teachers of the Slavs, Cyril and Methodius	SS Cyril and Methodius, Apostles to the Slavs	1.0
elsewhere	05-11	Venerable Sophronius the Recluse of the Kiev Far Caves	08-28  Synaxis of the Kiev Cave Fathers	1.0
missing	05-11	Saint Joseph, Metropolitan of Astrakhan		0.0
missing	05-11	Saint Nikodemos, Archbishop of Serbia		0.0
missing	05-11	Saint Rostislav, Prince of Great Moravia		0.0
present	05-11	New Martyr Dioscorus	Dioscoros the New Martyr	1.0
present	05-11	New Martyr Argyrus	Argyrios the New-Martyr of Epanomi	1.0
missing	05-11	Blessed Christopher, called Christesia		0.0
missing	05-11	Holy Monastic Martyrs Olympia and Euphrosynē		0.0
present	05-12	Saint Epiphanius, Bishop of Cyprus	St Epiphanius, Bishop of Cyprus	1.0
missing	05-12	Saint Germanus, Patriarch of Constantinople		0.0
elsewhere	05-12	Hieromartyr Hermogenes, Patriarch of Moscow and All Russia	10-09  Repose of St Tikhon, Patriarch of Moscow and All Russia, Confessor (1925)	0.75
missing	05-12	Venerable Dionysius, Archimandrite of Saint Sergius’ Monastery		0.0
missing	05-12	Saint Sabinus, Archbishop of Cyprus		0.0
missing	05-12	Saint Polybius, Bishop in Cyprus		0.0
missing	05-12	Martyr John of Vlachia, Romania		0.0
missing	05-12	Martyr Pancratius		0.0
present	05-13	Virgin Martyr Glyceria at Heraclea	Virgin Martyr Glyceria	1.0
missing	05-13	Martyr Laodicius the Keeper of the Prison		0.0
probable	05-13	Righteous Virgin Glykerίa of Novgorod	Virgin Martyr Glyceria	0.5
missing	05-13	Venerable Macarius, Archimandrite of Ovruch		0.0
present	05-13	Martyr Alexander of Rome	Holy Martyr Alexander of Rome (298)	1.0
present	05-13	Saint Pausicacus, Bishop of Synnada	Pausikakos, Bishop of Synnada	1.0
missing	05-13	Saint George the Confessor, with his wife and children, of Constantinople		0.0
missing	05-13	Saint Irene, with her husband and children, of Constantinople		0.0
elsewhere	05-13	Saint Euthymius the New, Founder of the Ivḗron Monastery, and his fellow Georgian Saints of Mount Athos	09-13  Hierotheos the Righteous of Iveron Monastery, Mount Athos	0.8
elsewhere	05-13	Monastic Martyr John of the Ivḗron Monastery on Mount Athos	09-13  Hierotheos the Righteous of Iveron Monastery, Mount Athos	0.8
elsewhere	05-13	Monastic Martyr George of the Ivḗron Monastery on Mount Athos	09-13  Hierotheos the Righteous of Iveron Monastery, Mount Athos	0.8
elsewhere	05-13	Monastic Martyr Gabriel of the Ivḗron Monastery on Mount Athos	09-13  Hierotheos the Righteous of Iveron Monastery, Mount Athos	0.8
elsewhere	05-13	Martyrs killed by the Latins at the Ivḗron Monastery on Mount Athos	09-13  Hierotheos the Righteous of Iveron Monastery, Mount Athos	0.8
present	05-14	Martyrs Isidore and Myrope of Chios	Martyr Isidore of Chios	1.0
present	05-14	Venerable Isidore the Fool-For-Christ and Wonderworker of Rostov	Ven. Isidore, Fool-for-Christ of Rostov	1.0
elsewhere	05-14	Saint Nikḗtas, Bishop of Novgorod, Recluse of the Kiev Far Caves	08-28  Synaxis of the Kiev Cave Fathers	1.0
missing	05-14	Martyr Maximus		0.0
probable	05-14	Venerable Serapion of Egypt	Our Holy Father Serapion the Sindonite (5th c.)	0.5
present	05-14	Saint Leontius, Patriarch of Jerusalem	Leontius, Patriarch of Jerusalem	1.0
elsewhere	05-14	First opening of the relics of Saint Tikhon of Zadonsk	08-13  St Tikhon of Zadonsk (1783)	1.0
missing	05-14	“Sweet-Kissing” Icon of the Mother of God		0.0
missing	05-14	“Yaroslavl-Caves” Icon of the Mother of God		0.0
missing	05-14	New Martyr Raiko (John) of Bulgaria		0.0
present	05-14	Hieromartyr Therapontus of Cyprus	Holy Hieromartyr Therapontus	1.0
probable	05-15	Venerable Pachomius the Great, Founder of Coenobitic Monasticism	Ven. Pachomius the Great	0.5
missing	05-15	Saint Isaiah the Wonderworker, Bishop of Rostov		0.0
missing	05-15	The Holy Right-believing Tsarevich Demetrios of Uglich and Moscow		0.0
missing	05-15	Venerable Isaiah, Wonderworker of the Kiev Near Caves		0.0
probable	05-15	Venerable Pachomius, Abbot of Nerekhta	Ven. Pachomius the Great	0.5
missing	05-15	Venerable Silvanus of Nerekhta		0.0
