bucket	date	oca_title	best_ours	score
missing	01-10	Saint Marcian the Presbyter in Constantinople		0.0
missing	01-10	Venerable Paul, Abbot of Obnora, Vologda		0.0
missing	01-10	Venerable Makarios of Pisma and Kostroma		0.0
present	01-10	Blessed Theosebia the Deaconess, sister of Saints Basil the Great and Gregory of Nyssa	St Gregory of Nyssa	1.0
missing	01-10	Venerable Antipas of Valaam Monastery		0.0
present	01-10	Saint Theophan the Recluse, Bishop of Tambov	St Theophan the Recluse	1.0
probable	01-11	Afterfeast of the Theophany of our Lord and Savior Jesus Christ	Venerable Michael of Klops, Fool for Christ (1456)	0.2
present	01-11	Venerable Theodosius the Great, the Cenobiarch	Our Holy Father Theodosius the Cenobiarch (519)	1.0
present	01-11	Venerable Michael the Fool-for-Christ of the Klops Monastery, Novgorod	Venerable Michael of Klops, Fool for Christ (1456)	1.0
probable	01-11	Saint Theodosius of Antioch	Our Holy Father Theodosius the Cenobiarch (519)	0.5
probable	01-11	Venerable Theodosius, Metropolitan of Trebizond	Our Holy Father Theodosius the Cenobiarch (519)	0.5
missing	01-11	Yelets Icon of the Mother of God		0.0
elsewhere	01-12	Afterfeast of the Theophany of our Lord and Savior Jesus Christ	01-06  The Holy Theophany of our Lord, God and Savior Jesus Christ	0.83
present	01-12	Martyr Tatiana of Rome, and those who suffered with her	Holy Martyr Tatiana (ca. 230)	1.0
missing	01-12	Venerable Martinian, Abbot of Belozersk		0.0
present	01-12	Martyr Mertius of Mauretania	Martyr Mertios	1.0
missing	01-12	Martyr Peter Apselamus of Palestine		0.0
missing	01-12	Venerable Eupraxia of Tabenna, in Egypt		0.0
missing	01-12	Icon of the Mother of God of “the Akathist”		0.0
missing	01-12	Icon of the Mother of God the “Milkgiver”		0.0
missing	01-12	Icon of the Mother of God, the “Priestly”		0.0
missing	01-12	Virgin Martyrs Neollina, Domnina, and Parthena		0.0
missing	01-12	Founder's Icon of the Mother of God at Vatopedi Monastery		0.0
elsewhere	01-13	Afterfeast of the Theophany of our Lord and Savior Jesus Christ	01-06  The Holy Theophany of our Lord, God and Savior Jesus Christ	0.83
present	01-13	Martyrs Hermylus and Stratonicus of Belgrade	Martyrs Hermylus and Stratonicus	1.0
missing	01-13	Venerable Irenarchus the Recluse of Rostov		0.0
missing	01-13	Venerable Eleazar of Anzersk Island, Solovki		0.0
missing	01-13	Martyr Peter of Anium, at Hieropolis		0.0
missing	01-13	Saint James, Bishop of Nisibis		0.0
present	01-13	Saint Hilary, Bishop of Poitiers	Our Holy Father Hilary, Bishop of Poitiers (369)	1.0
probable	01-13	Venerable Maximus Kavsokalyvites of Mount Athos	Our Holy Father Maximos Kavsokalybites (the Hut-burner) (1365)	0.5
missing	01-13	Saint Elian, Missionary to Cornwall, England		0.0
missing	01-13	Saint Jeremiah I Patriarch of Constantinople		0.0
present	01-14	Leavetaking of the Theophany of our Lord and Savior Jesus Christ	Leavetaking of Theophany	1.0
